pageid,reason
42507256,"auction catalogue page, not architecture"
11404938,"orientalist painting by John Frederick Lewis, not a photograph"
2565465,"19th-century David Roberts lithograph, not a photograph"
10458846,"hookah/shisha pipe display, no architectural content"
767529,"market metalware stall, no architectural content"
4679197,"bazaar shopfronts, commerce-dominant, weak architectural content"
10472491,"bazaar street scene, commerce-dominant, redundant with Gaspa (2)"
26262639,"modern construction crane dominates frame, night exposure"
43014231,"Portuguese/Brazilian colonial facade, not Cairo - matched Category:Mashrabiya via colonial balcony"
36337324,"modern mosque with plain arches, no Mamluk vocabulary"
38150462,"19th-century Cairo Marriott palace interior with classical statues, European eclectic not Mamluk"
18917670,"mid-century apartment block with AC unit and satellite dish, teaches modern Cairo residential"
28511082,"modern white apartment tower dominates frame"
4729096,"modern cityscape with traffic roundabout and cars, not Mamluk"
6352541,"David Roberts lithograph, not a photograph"
22583631,"modern mosque with plain plaster and no Mamluk vocabulary"
11510243,"1878 TIMEA archival reproduction, teaches 19th-century print aesthetic"
35394664,"night shot dominated by LED light trails and modern street illumination"
28437785,"derelict restoration interior with plywood and rubble"
30260733,"subject is a person on the street, not architecture (flagged by repo owner)"
