image_path,caption,source,architectural_style,split,license,license_url,artist,title,category,phash,duplicate_of
data/validation/3949161.png,"mamluk_architecture, historic Islamic Cairo street, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Ayyubid_Wall_Al-Azhar_Park_Cairo_01-2006.jpg,mamluk_architecture,validation,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Błażej Pindor,File:Ayyubid Wall Al-Azhar Park Cairo 01-2006.jpg,Category:Islamic Cairo,3de883b25cc5aab0,
data/validation/43871585.png,"mamluk_architecture, historic Cairene stone architecture, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Islamic_Cairo63.jpg,mamluk_architecture,validation,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Mohamed Ouda,File:Islamic Cairo63.jpg,Category:Mosque of Qanibay al-Rammah,579430a2a6eee991,
data/validation/26262641.png,"mamluk_architecture, historic mosque facade, carved limestone ornamentation, pointed arches, warm natural light, architectural photography","https://commons.wikimedia.org/wiki/File:A_small_mosque_in_the_center_of_Cairo,_Egypt,_North_Africa.jpg",mamluk_architecture,validation,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Mstyslav Chernov,"File:A small mosque in the center of Cairo, Egypt, North Africa.jpg",Category:Mosques in Cairo,47bab945863d55c0,
data/validation/88558858.png,"mamluk_architecture, historic Cairene stone architecture, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Qaytbay_sabil_exterior_decoration2.jpg,mamluk_architecture,validation,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Robert Prazeres,File:Qaytbay sabil exterior decoration2.jpg,Category:Sabil-Kuttab of Qaytbay,1311599c8c4d67f6,
data/validation/28559512.png,"mamluk_architecture, Mamluk religious complex, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:The_Mausoleum_of_Sultan_Qalawun.jpg,mamluk_architecture,validation,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Bassem Abdelaziz,File:The Mausoleum of Sultan Qalawun.jpg,Category:Qalawun complex,4fc10eb37076191d,
data/validation/43871582.png,"mamluk_architecture, historic Cairene stone architecture, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Islamic_Cairo60.jpg,mamluk_architecture,validation,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Mohamed Ouda,File:Islamic Cairo60.jpg,Category:Mosque of Qanibay al-Rammah,5846fcb5086a3597,
data/train/35463954.png,"mamluk_architecture, Mamluk religious complex, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Sultan_Qalawun_Mosque_at_Mu%27izz_street.jpg,mamluk_architecture,train,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Mariam Mohamed Kamal,File:Sultan Qalawun Mosque at Mu'izz street.jpg,Category:Qalawun complex,0c901b933b3dd4d6,
data/train/52004721.png,"mamluk_architecture, muqarnas vaulting, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:%D8%A8%D8%B3%D8%B7%D8%A7%D9%85.jpg,mamluk_architecture,train,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Peymanpourkoushki,File:بسطام.jpg,Category:Muqarnas,45a1ad81a55fd3a1,
data/train/40538917.png,"mamluk_architecture, historic mosque facade, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Cairo_(4015028718).jpg,mamluk_architecture,train,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,M M from Switzerland,File:Cairo (4015028718).jpg,Category:Mosques in Cairo,14fc24148f85c7cf,
data/train/3840148.png,"mamluk_architecture, carved stone dome, carved limestone ornamentation, pointed arches, warm natural light, architectural photography",https://commons.wikimedia.org/wiki/File:Al-Azhar_2006.jpg,mamluk_architecture,train,Public domain,,Tentoila,File:Al-Azhar 2006.jpg,Category:Domes in Cairo,61ac3592f34c37a1,
