pageid,note
3949161,Ayyubid wall Al-Azhar Park
3582665,Cairouni domed building
28559512,Mausoleum of Sultan Qalawun
28437786,Mamluk residential room interior
20125985,Mameluke House ablaq doorway
26262641,small mosque silhouette
132034452,muqarnas close-up
585873,elevated view over Cairo
4679196,Islamic district cemetery
11174888,Qaytbay dome
79357007,City of the Dead south
18477036,Muizz street alley
3840148,Al-Azhar facade
63465911,Gamaliya street carved door
11986836,tomb of az-Zahir Qansuh
27471955,Sultan Hassan mosque
40538917,mosque interior columns
11587805,Aqmar mosque facade
26262640,small mosque at dusk
35372657,Cairo stone wall and door
18107914,Qalawun mosque arcade
52004721,muqarnas vaulting detail
30674345,Bayn al-Qasrayn facade
12112540,Al-Nasir Muhammad dome
12269445,Qarafa street and dome
47111904,Gayer-Anderson courtyard
43605462,complex of Sultan Barquq
51804477,darb el-Asfar street
104302281,mosque of Gawhar al-Lala
63465912,Gamaliya street carved door 01
35463954,Qalawun mosque Muizz street
47149485,madrasa of Sultan Qalaun
10459973,historic Cairo house
11174904,Masjid Qanibay al-Rammah
43871582,Islamic Cairo facade 60
43871585,Islamic Cairo facade 63
88558855,Qaytbay sabil-kuttab exterior
88558858,Qaytbay sabil decoration
72790794,Sultan Hassan mosque muqarnas hood
